日本語,英語,キー
炎の更新,Update fire,gamerule.doFireTick
即時リスポーン,Respawn immediately,gamerule.doImmediateRespawn
ファントムのスポーン,Spawn phantoms,gamerule.doInsomnia
クラフトにレシピを要求,Require recipe for crafting,gamerule.doLimitedCrafting
有効にすると、プレイヤーは解禁されたレシピのみクラフトが可能になります。,"If enabled, players will be able to craft only unlocked recipes.",gamerule.doLimitedCrafting.description
Mobのアイテムのドロップ,Drop mob loot,gamerule.doMobLoot
Mobがアイテムや経験値オーブをドロップするかを設定できます。,"Controls resource drops from mobs, including experience orbs.",gamerule.doMobLoot.description
Mobのスポーン,Spawn mobs,gamerule.doMobSpawning
特定のエンティティに関しては、他のゲームルールでそのスポーンの有無が制御されている場合があります。,Some entities might have separate rules.,gamerule.doMobSpawning.description
略奪隊のスポーン,Spawn pillager patrols,gamerule.doPatrolSpawning
ブロックのドロップ,Drop blocks,gamerule.doTileDrops
ブロックがアイテムや経験値オーブをドロップするかを設定できます。,"Controls resource drops from blocks, including experience orbs.",gamerule.doTileDrops.description
行商人のスポーン,Spawn Wandering Traders,gamerule.doTraderSpawning
ツタの成長,Vines spread,gamerule.doVinesSpread
ツタがランダムに隣接するブロックへと成長するかどうかを設定できます。しだれツタやねじれツタなど、他のブロックには影響しません。,"Controls whether or not the Vines block spreads randomly to adjacent blocks. Does not affect other types of vine blocks such as Weeping Vines, Twisting Vines, etc.",gamerule.doVinesSpread.description
ウォーデンのスポーン,Spawn Wardens,gamerule.doWardenSpawning
天気の更新,Update weather,gamerule.doWeatherCycle
溺水ダメージ,Deal drowning damage,gamerule.drowningDamage
プレイヤー死亡時のエンダーパールの消滅,Thrown Ender Pearls vanish on death,gamerule.enderPearlsVanishOnDeath
プレイヤーの投げたエンダーパールが、投げたプレイヤーが死亡したときに消滅するかを設定できます。,Whether Ender Pearls thrown by a player vanish when that player dies.,gamerule.enderPearlsVanishOnDeath.description
何かが乗っているエンティティのポータル使用可否,Entities with passengers can use portals,gamerule.entitiesWithPassengersCanUsePortals
何かが乗っているエンティティが、ネザーポータル、エンドポータル、エンドゲートウェイを通過してテレポートするかを設定できます。,"Allow entities with passengers to teleport through Nether Portals, End Portals, and End Gateways.",gamerule.entitiesWithPassengersCanUsePortals.description
落下ダメージ,Deal fall damage,gamerule.fallDamage
火傷ダメージ,Deal fire damage,gamerule.fireDamage
死亡したプレイヤーへの敵対を解除,Forgive dead players,gamerule.forgiveDeadPlayers
敵対した中立Mobが、敵対させたプレイヤーが周囲で死亡すると中立状態に戻るかを設定できます。,Angered neutral mobs stop being angry when the targeted player dies nearby.,gamerule.forgiveDeadPlayers.description
凍結ダメージ,Deal freeze damage,gamerule.freezeDamage
ワールド全体のサウンドイベント,Global sound events,gamerule.globalSoundEvents
ボスの出現など、特定のゲームイベントが発生したときのサウンドがどこにいても聞こえるかを設定できます。,"When certain game events happen, like a boss spawning, the sound is heard everywhere.",gamerule.globalSoundEvents.description
死亡時のインベントリの保持,Keep inventory after death,gamerule.keepInventory
溶岩流から溶岩源への変化,Lava converts to source,gamerule.lavaSourceConversion
溶岩流が二方向から溶岩源に挟まれた時に、溶岩源に変化するかを設定できます。,When flowing lava is surrounded on two sides by lava sources it converts into a source.,gamerule.lavaSourceConversion.description
管理者ログへのコマンドの実行結果の通知,Broadcast admin commands,gamerule.logAdminCommands
コマンドの最大チェーン数,Command chain size limit,gamerule.maxCommandChainLength
チェーンコマンドブロックや関数に適用されます。,Applies to command block chains and functions.,gamerule.maxCommandChainLength.description
コマンドの最大実行文脈数,Command context limit,gamerule.maxCommandForkCount
「execute as」などのコマンドで使用できる実行文脈の最大数,Maximum number of contexts that can be used by commands like 'execute as'.,gamerule.maxCommandForkCount.description
エンティティの最大密集数,Entity cramming threshold,gamerule.maxEntityCramming
Mob爆発時にブロックがドロップアイテムを落とさない可能性,"In mob explosions, some blocks won't drop their loot",gamerule.mobExplosionDropDecay
Mobによる爆発で破壊されたブロックからのドロップアイテムの一部が、その爆発によって消失するかを設定できます。,Some of the drops from blocks destroyed by explosions caused by mobs are lost in the explosion.,gamerule.mobExplosionDropDecay.description
Mobの破壊行動の許可,Allow destructive mob actions,gamerule.mobGriefing
体力の自動回復,Regenerate health,gamerule.naturalRegeneration
クリエイティブモードでのネザーポータルの待機時間,Player's Nether portal delay in creative mode,gamerule.playersNetherPortalCreativeDelay
クリエイティブモードのプレイヤーがディメンションを移動するまでにネザーポータル内に立っている必要のある時間（ティック）,Time (in ticks) that a creative mode player needs to stand in a Nether portal before changing dimensions.,gamerule.playersNetherPortalCreativeDelay.description
非クリエイティブモードでのネザーポータルの待機時間,Player's Nether portal delay in non-creative mode,gamerule.playersNetherPortalDefaultDelay
クリエイティブモード以外のプレイヤーがディメンションを移動するまでにネザーポータル内に立っている必要のある時間（ティック）,Time (in ticks) that a non-creative mode player needs to stand in a Nether portal before changing dimensions.,gamerule.playersNetherPortalDefaultDelay.description
就寝率,Sleep percentage,gamerule.playersSleepingPercentage
夜をスキップするために必要なベッドで寝ているプレイヤーの割合を設定できます。,The percentage of players who must be sleeping to skip the night.,gamerule.playersSleepingPercentage.description
飛び道具によるブロック破壊の可否,Projectiles can break blocks,gamerule.projectilesCanBreakBlocks
飛び道具の着弾によって破壊されうるブロックが実際に破壊されるかどうかを設定できます。,Controls whether impact projectiles will destroy blocks that are destructible by them.,gamerule.projectilesCanBreakBlocks.description
ランダムティックの発生数,Random tick speed rate,gamerule.randomTickSpeed
デバッグ情報の制限,Reduce debug info,gamerule.reducedDebugInfo
表示するデバッグ情報の項目数を制限します。,Limits contents of debug screen.,gamerule.reducedDebugInfo.description
コマンドの実行結果の表示,Send command feedback,gamerule.sendCommandFeedback
死亡メッセージの表示,Show death messages,gamerule.showDeathMessages
積雪の深さ,Snow accumulation height,gamerule.snowAccumulationHeight
降雪時に積もる雪の層の最大数を設定できます。,"When it snows, layers of snow form on the ground up to at most this number of layers.",gamerule.snowAccumulationHeight.description
スポーンチャンクの半径,Spawn chunk radius,gamerule.spawnChunkRadius
オーバーワールドのスポーン地点周辺の、常に読み込まれているチャンクの量。,Amount of chunks that stay loaded around the overworld spawn position.,gamerule.spawnChunkRadius.description
リスポーン地点の半径,Respawn location radius,gamerule.spawnRadius
スポーン地点を中心とした、プレイヤーがスポーンする可能性のある範囲の大きさを調整できます。,Controls the size of the area around the spawn point that players can spawn in.,gamerule.spawnRadius.description
スペクテイターモードのプレイヤーによる地形生成の許可,Allow spectators to generate terrain,gamerule.spectatorsGenerateChunks
TNT爆発時にブロックがドロップアイテムを落とさない可能性,"In TNT explosions, some blocks won't drop their loot",gamerule.tntExplosionDropDecay
オンにすると、TNTの爆発で破壊されたブロックのドロップアイテムが一部消失するようになります。,Some of the drops from blocks destroyed by explosions caused by TNT are lost in the explosion.,gamerule.tntExplosionDropDecay.description
敵対の共有,Universal anger,gamerule.universalAnger
敵対状態となった中立Mobが、最初に敵対したプレイヤーだけでなく他のプレイヤーにも攻撃するかを設定できます。forgiveDeadPlayersが無効になっている際に最適です。,"Angered neutral mobs attack any nearby player, not just the player that angered them. Works best if forgiveDeadPlayers is disabled.",gamerule.universalAnger.description
水流から水源への変化,Water converts to source,gamerule.waterSourceConversion
水流が二方向から水源に挟まれた時に、水源に変化するかを設定できます。,When flowing water is surrounded on two sides by water sources it converts into a source.,gamerule.waterSourceConversion.description
カスタム,Custom,generator.custom
古いカスタマイズ,Old Customized,generator.customized
アンプリファイド,AMPLIFIED,generator.minecraft.amplified
注意：このオプションを楽しむためには、高性能なコンピューターが必要です。,Notice: Just for fun! Requires a beefy computer.,generator.minecraft.amplified.info
デバッグモード,Debug Mode,generator.minecraft.debug_all_block_states
スーパーフラット,Superflat,generator.minecraft.flat
大きなバイオーム,Large Biomes,generator.minecraft.large_biomes
デフォルト,Default,generator.minecraft.normal
シングルバイオーム,Single Biome,generator.minecraft.single_biome_surface
洞窟,Caves,generator.single_biome_caves
浮島,Floating Islands,generator.single_biome_floating_islands
通報する上で、報告する情報があなたの知る限り正確で不足はないことを確認します。,"By submitting this report, you confirm that the information you have provided is accurate and complete to the best of your knowledge.",gui.abuseReport.attestation
コメント,Comments,gui.abuseReport.comments
ご記入いただいた詳細な情報は、処分決定の上での判断の一助とさせていただきます。,Sharing details will help us make a well-informed decision.,gui.abuseReport.describe
この画面を閉じると、この通報内容とコメントは破棄されます。\n本当に閉じますか？,"If you leave, you'll lose this report and your comments.\nAre you sure you want to leave?",gui.abuseReport.discard.content
通報の内容を破棄して閉じる,Leave and Discard Report,gui.abuseReport.discard.discard
下書きとして保存,Save as Draft,gui.abuseReport.discard.draft
編集を続ける,Continue Editing,gui.abuseReport.discard.return
通報内容とコメントを破棄しますか？,Discard report and comments?,gui.abuseReport.discard.title
既存の通報の編集を続けますか？それとも破棄して新しい通報を作成しますか？,Would you like to continue editing the existing report or discard it and create a new one?,gui.abuseReport.draft.content
破棄,Discard,gui.abuseReport.draft.discard
編集を続ける,Continue Editing,gui.abuseReport.draft.edit
編集を続けますか？それとも破棄しますか？,Would you like to continue editing it or discard it?,gui.abuseReport.draft.quittotitle.content
退出するとチャットの通報の下書きが破棄されます,You have a draft chat report that will be lost if you quit,gui.abuseReport.draft.quittotitle.title
チャットの通報の下書きを編集しますか？,Edit draft chat report?,gui.abuseReport.draft.title
通報の送信中に問題が発生しました,Problem sending your report,gui.abuseReport.error.title
問題のある振る舞いを発見した場所を教えてください。\nご記入いただいた情報は通報の内容を精査するために使用されます。,Where did you observe the bad behavior?\nThis will help us in researching your case.,gui.abuseReport.message
その時の状況を以下に入力してください,Please describe what happened:,gui.abuseReport.more_comments
「%s」を通報しようとしています,"You are reporting \""%s\"".",gui.abuseReport.name.reporting
プレイヤー名の通報,Report Player Name,gui.abuseReport.name.title
通報する理由を選択してください。,Why are you reporting this?,gui.abuseReport.observed_what
通報について,Learn About Reporting,gui.abuseReport.read_info
薬物・飲酒,Drugs or alcohol,gui.abuseReport.reason.alcohol_tobacco_drugs
違法薬物に関する行為への参加や、未成年の飲酒を助長する人がいる。,Someone is encouraging others to partake in illegal drug related activities or encouraging underage drinking.,gui.abuseReport.reason.alcohol_tobacco_drugs.description
児童に対する性的搾取・虐待,Child sexual exploitation or abuse,gui.abuseReport.reason.child_sexual_exploitation_or_abuse
子供に対するわいせつ行為に関する、あるいは助長する発言をする人がいる。,Someone is talking about or otherwise promoting indecent behavior involving children.,gui.abuseReport.reason.child_sexual_exploitation_or_abuse.description
名誉毀損・なりすまし・デマ,Defamation,gui.abuseReport.reason.defamation_impersonation_false_information
他人の名誉を貶めたり、他人になりすましたり、他人を騙すために虚偽の情報を流布する人がいる。,"Someone is damaging your or someone else's reputation, for example sharing false information with the aim to exploit or mislead others.",gui.abuseReport.reason.defamation_impersonation_false_information.description
説明：,Description:,gui.abuseReport.reason.description
虚偽の通報,False Reporting,gui.abuseReport.reason.false_reporting
その他の理由,I want to report them,gui.abuseReport.reason.generic
他の理由には該当しないが、不快な行為を行うプレイヤーがいる。,I'm annoyed with them / they have done something I do not like.,gui.abuseReport.reason.generic.description
ハラスメント・いじめ,Harassment or bullying,gui.abuseReport.reason.harassment_or_bullying
あなたや他のプレイヤーに恥をかかせたり、攻撃したり、いじめを行う人がいる。これには誰かがあなたや他のプレイヤーに、同意なく何度も連絡を取ろうとする行為や、あなたや他人の個人情報を同意なく投稿する行為（晒し行為）も含まれます。,"Someone is shaming, attacking, or bullying you or someone else. This includes when someone is repeatedly trying to contact you or someone else without consent or posting private personal information about you or someone else without consent (\""doxing\"").",gui.abuseReport.reason.harassment_or_bullying.description
ヘイトスピーチ,Hate speech,gui.abuseReport.reason.hate_speech
あなたや別のプレイヤーを、宗教や人種、性別などの特徴にもとづいて攻撃する人がいる。,"Someone is attacking you or another player based on characteristics of their identity, like religion, race, or sexuality.",gui.abuseReport.reason.hate_speech.description
他者への危害を及ぼす内容の脅迫,Threat of harm to others,gui.abuseReport.reason.imminent_harm
あなたや他のプレイヤーに、現実世界で危害を加えると脅迫する人がいる。,Someone is threatening to harm you or someone else in real life.,gui.abuseReport.reason.imminent_harm.description
%s：%s,%s: %s,gui.abuseReport.reason.narration
同意なく投稿されたプライバシーに抵触する画像,Non-consensual intimate imagery,gui.abuseReport.reason.non_consensual_intimate_imagery
プライバシーに抵触するおそれのある画像についての会話や共有、拡散をする人がいる。,"Someone is talking about, sharing, or otherwise promoting private and intimate images.",gui.abuseReport.reason.non_consensual_intimate_imagery.description
緊急の危害 - 自傷・自殺行為,Self-harm or suicide,gui.abuseReport.reason.self_harm_or_suicide
現実世界において自傷行為や自殺を行う恐れのある、あるいはそれについて話すプレイヤーがいる。,Someone is threatening to harm themselves in real life or talking about harming themselves in real life.,gui.abuseReport.reason.self_harm_or_suicide.description
テロ行為・暴力的過激主義,Terrorism or violent extremism,gui.abuseReport.reason.terrorism_or_violent_extremism
政治的、宗教的、思想的、もしくはその他の理由で、テロ行為または暴力的過激派について会話や宣伝、脅迫をおこなう人がいる。,"Someone is talking about, promoting, or threatening to commit acts of terrorism or violent extremism for political, religious, ideological, or other reasons.",gui.abuseReport.reason.terrorism_or_violent_extremism.description
通報カテゴリを選択,Select Report Category,gui.abuseReport.reason.title
通報を受理しました。ありがとうございます。\n\n私達のチームはできるだけ早く、寄せられた通報を確認いたします。,We’ve successfully received your report. Thank you!\n\nOur team will review it as soon as possible.,gui.abuseReport.report_sent_msg
通報カテゴリを選択,Select Report Category,gui.abuseReport.select_reason
通報する,Send Report,gui.abuseReport.send
コメントを短くしてください,Please shorten the comment,gui.abuseReport.send.comment_too_long
通報の送信中にエラー「%s」が返されました。,An error was returned while sending your report:\n'%s',gui.abuseReport.send.error_message
通報の送信中に予期せぬエラーが発生しました。,Encountered an unexpected error while sending your report.,gui.abuseReport.send.generic_error
通報の送信時に予期せぬHTTPエラーが発生しました。,An unexpected HTTP error occurred while sending your report.,gui.abuseReport.send.http_error
通報の送信時に不正なペイロードが発生しました。,Encountered malformed payload while sending your report.,gui.abuseReport.send.json_error
通報カテゴリを選択してください,Please select a report category,gui.abuseReport.send.no_reason
上記の文章を読み、チェックボックスにチェックを入れると通報できます,Please read the text above and tick the checkbox to be able to send the report,gui.abuseReport.send.not_attested
不正利用通報サービスに接続できません。インターネットの接続を確認し、もう一度お試しください。,Unable to reach the Abuse Reporting service. Please make sure you are connected to the internet and try again.,gui.abuseReport.send.service_unavailable
通報を送信中…,Sending your report...,gui.abuseReport.sending.title
通報を送信しました,Report sent,gui.abuseReport.sent.title
プレイヤーのスキンの通報,Report Player Skin,gui.abuseReport.skin.title
プレイヤーの通報,Report Player,gui.abuseReport.title
チャットのメッセージ,Chat Messages,gui.abuseReport.type.chat
プレイヤー名,Player Name,gui.abuseReport.type.name
プレイヤーのスキン,Player Skin,gui.abuseReport.type.skin
了解,Acknowledge,gui.acknowledge
進捗,Advancements,gui.advancements
すべて,All,gui.all
戻る,Back,gui.back
%s\n\n%s\n\n詳細はこちらのリンクから確認できます：%s,%s\n\n%s\n\nLearn more at the following link: %s,gui.banned.description
あなたのアカウントは永久に停止されました。オンラインプレイやRealmsへの参加はできません。,"Your account is permanently banned, which means you can’t play online or join Realms.",gui.banned.description.permanent
あなたのアカウントによる悪質な行為の報告が最近寄せられました。あなたの件についてモデレーターが確認したところ、Minecraftコミュニティ規定に反する%sであることが判明しました。,"We recently received a report for bad behavior by your account. Our moderators have now reviewed your case and identified it as %s, which goes against the Minecraft Community Standards.",gui.banned.description.reason
コード：%s,Code: %s,gui.banned.description.reason_id
コード：%s - %s,Code: %s - %s,gui.banned.description.reason_id_message
%s経過するまでは、オンラインプレイおよびRealmsへの参加はできません。,"%s Until then, you can’t play online or join Realms.",gui.banned.description.temporary
あなたのアカウントは一時的に制限されています。%s後に制限が解除される予定です。,Your account is temporarily suspended and will be reactivated in %s.,gui.banned.description.temporary.duration
あなたのアカウントによる悪質な行為の報告が最近寄せられました。あなたの件についてモデレーターが確認したところ、Minecraftコミュニティ規定に反していることが判明しました。,We recently received a report for bad behavior by your account. Our moderators have now reviewed your case and identified that it goes against the Minecraft Community Standards.,gui.banned.description.unknownreason
あなたの名前「%s」は、コミュニティ規定に違反しています。シングルプレイは引き続きプレイしていただくことができますが、オンラインでプレイするには名前を変えていただく必要があります。\n\n詳しい情報および通報された内容は次のリンクを参照ください：%s,"Your current name - \""%s\"" - violates our Community Standards. You can play singleplayer, but will need to change your name to play online.\n\nLearn more or submit a case review at the following link: %s",gui.banned.name.description
この名前はマルチプレイでは使用できません,Name Not Allowed in Multiplayer,gui.banned.name.title
なりすまし、および他のプレイヤーを誤解させるような情報の拡散,Impersonation or sharing information to exploit or mislead others,gui.banned.reason.defamation_impersonation_false_information
違法薬物に関する発言,References to illegal drugs,gui.banned.reason.drugs
現実世界における過剰な暴力や残虐行為の描写,Depictions of real-life excessive violence or gore,gui.banned.reason.extreme_violence_or_gore
不正確な、あるいは誤った報告の濫発,Excessive false or inaccurate reports,gui.banned.reason.false_reporting
コンテンツの不正な取得・使用,Fraudulent acquisition or use of content,gui.banned.reason.fraud
暴力に関するコミュニティ規定への違反,Violating Community Standards,gui.banned.reason.generic_violation
特定の対象に対する有害で攻撃的な発言,"Abusive language used in a directed, harmful manner",gui.banned.reason.harassment_or_bullying
ヘイトスピーチおよび差別表現,Hate speech or discrimination,gui.banned.reason.hate_speech
ヘイトスピーチを行う団体、テロ組織、悪を想起させる図形などへの言及,"References to hate groups, terrorist organizations, or notorious figures",gui.banned.reason.hate_terrorism_notorious_figure
現実世界における特定の個人、財産に対する損害を為そうとする意図,Intent to cause real-life harm to persons or property,gui.banned.reason.imminent_harm_to_person_or_property
卑猥またはポルノ要素のある事物の表示,Displaying lewd or pornographic material,gui.banned.reason.nudity_or_pornography
性的な内容を含む話題やコンテンツ,Topics or content of a sexual nature,gui.banned.reason.sexually_inappropriate
スパムまたは広告,Spam or advertising,gui.banned.reason.spam_or_advertising
あなたの現在のスキンは、コミュニティ規定に違反しています。デフォルトのスキンを使用するか、新しいスキンを選択してください。\n\n詳しい情報および通報された内容は次のリンクを参照ください：%s,"Your current skin violates our Community Standards. You can still play with a default skin, or select a new one.\n\nLearn more or submit a case review at the following link: %s",gui.banned.skin.description
このスキンは使用できません,Skin Not Allowed,gui.banned.skin.title
このアカウントは永久停止処分を受けています,Account permanently banned,gui.banned.title.permanent
アカウントの一時制限,Account temporarily suspended,gui.banned.title.temporary
キャンセル,Cancel,gui.cancel
コメント,Comments,gui.chatReport.comments
ご記入いただいた詳細な情報は、処分決定の上での判断の一助とさせていただきます。,Sharing details will help us make a well-informed decision.,gui.chatReport.describe
この画面を閉じると、この通報内容とコメントは消去されます。\n本当に閉じますか？,"If you leave, you'll lose this report and your comments.\nAre you sure you want to leave?",gui.chatReport.discard.content
通報内容を破棄して閉じる,Leave and Discard Report,gui.chatReport.discard.discard
下書きとして保存,Save as Draft,gui.chatReport.discard.draft
編集を続ける,Continue Editing,gui.chatReport.discard.return
通報内容とコメントを破棄しますか？,Discard report and comments?,gui.chatReport.discard.title
既存の通報の編集を続けますか？それとも破棄して新しい通報を作成しますか？,Would you like to continue editing the existing report or discard it and create a new one?,gui.chatReport.draft.content
破棄,Discard,gui.chatReport.draft.discard
編集を続ける,Continue Editing,gui.chatReport.draft.edit
編集を続けますか？それとも破棄しますか？,Would you like to continue editing it or discard it?,gui.chatReport.draft.quittotitle.content
退出するとチャットの通報の下書きが破棄されます,You have a draft chat report that will be lost if you quit,gui.chatReport.draft.quittotitle.title
チャットの通報の下書きを編集しますか？,Edit draft chat report?,gui.chatReport.draft.title
その時の状況を以下に入力してください,Please describe what happened:,gui.chatReport.more_comments
通報する理由をご記入ください。,Why are you reporting this?,gui.chatReport.observed_what
通報について,Learn About Reporting,gui.chatReport.read_info
通報を受理しました。ありがとうございます。\n\n私達のチームはできるだけ早く、寄せられた通報を確認いたします。,We’ve successfully received your report. Thank you!\n\nOur team will review it as soon as possible.,gui.chatReport.report_sent_msg
通報するチャットメッセージを選択,Select Chat Messages to Report,gui.chatReport.select_chat
通報カテゴリを選択,Select Report Category,gui.chatReport.select_reason
%s個のチャットメッセージが通報対象として選択されています,%s Chat Message(s) Selected to Report,gui.chatReport.selected_chat
通報する,Send Report,gui.chatReport.send
コメントを短くしてください,Please shorten the comment,gui.chatReport.send.comments_too_long
通報カテゴリを選択してください,Please select a report category,gui.chatReport.send.no_reason
通報するチャットメッセージを一つ以上選択してください,Please select at least one chat message to report,gui.chatReport.send.no_reported_messages
通報のメッセージが長すぎます,Trying to include too many messages in the report,gui.chatReport.send.too_many_messages
プレイヤーを通報する,Report Player Chat,gui.chatReport.title
選択されたメッセージの前後のメッセージは、処分の判断を行う上で、文脈を把握するための追加の判断材料として使用されます。,Messages surrounding this selection will be included to provide additional context,gui.chatSelection.context
%s件のメッセージが非表示になりました,%s message(s) hidden,gui.chatSelection.fold
%s %s,%s %s,gui.chatSelection.heading
%sがチャットに参加しました,%s joined the chat,gui.chatSelection.join
%1$sの%3$sでの発言：%2$s,%s said: %s at %s,gui.chatSelection.message.narrate
%2$s個中%1$s個のメッセージを選択,%s/%s message(s) selected,gui.chatSelection.selected
通報するチャットメッセージを選択,Select Chat Messages to Report,gui.chatSelection.title
続ける,Continue,gui.continue
リンクをクリップボードにコピー,Copy Link to Clipboard,gui.copy_link_to_clipboard
%s日,%s day(s),gui.days
完了,Done,gui.done
下,Down,gui.down
タイプ：%s,Type: %s,gui.entity_tooltip.type
%sのファイルが拒否されました,Rejected %d files,gui.fileDropFailure.detail
ファイルの追加に失敗しました,Failed to add files,gui.fileDropFailure.title
%s時間,%s hour(s),gui.hours
Minecraftを読み込み中,Loading Minecraft,gui.loadingMinecraft
%s分,%s minute(s),gui.minutes
%s／%s,%s/%s,gui.multiLineEditBox.character_limit
%sボタン,%s button,gui.narrate.button
%sの編集欄：%s,%s edit box: %s,gui.narrate.editBox
%sスライダー,%s slider,gui.narrate.slider
%sのタブ,%s tab,gui.narrate.tab
いいえ,No,gui.no
なし,None,gui.none
OK,Ok,gui.ok
レポートフォルダを開く,Open Report Directory,gui.open_report_dir
続ける,Proceed,gui.proceed
右クリックで詳細を表示,Right Click for More,gui.recipebook.moreRecipes
%s／%s,%s/%s,gui.recipebook.page
検索…,Search...,gui.recipebook.search_hint
すべてのアイテムを表示中,Showing All,gui.recipebook.toggleRecipes.all
溶鉱可能なアイテムを表示中,Showing Blastable,gui.recipebook.toggleRecipes.blastable
クラフト可能なアイテムを表示中,Showing Craftable,gui.recipebook.toggleRecipes.craftable
製錬可能なアイテムを表示中,Showing Smeltable,gui.recipebook.toggleRecipes.smeltable
燻製可能なアイテムを表示中,Showing Smokable,gui.recipebook.toggleRecipes.smokable
サーバーに報告,Report To Server,gui.report_to_server
Microsoftアカウントで管理する,Manage with Microsoft account,gui.socialInteractions.blocking_hint
チャットをブロックしたプレイヤーはいません,No blocked players in chat,gui.socialInteractions.empty_blocked
チャットを非表示にしているプレイヤーはいません,No players hidden in chat,gui.socialInteractions.empty_hidden
%sからのチャットは表示されません,Chat messages from %s will be hidden,gui.socialInteractions.hidden_in_chat
チャットを非表示,Hide in Chat,gui.socialInteractions.hide
%sからのメッセージを非表示,Hide messages from %s,gui.socialInteractions.narration.hide
プレイヤー%sを通報する,Report player %s,gui.socialInteractions.narration.report
%sからのメッセージを表示,Show messages from %s,gui.socialInteractions.narration.show
通報,Report,gui.socialInteractions.report
その名前のプレイヤーを見つけることができませんでした,Couldn't find any players with that name,gui.socialInteractions.search_empty
検索…,Search...,gui.socialInteractions.search_hint
%s - %s人のプレイヤー,%s - %s players,gui.socialInteractions.server_label.multiple
%s - %s人のプレイヤー,%s - %s player,gui.socialInteractions.server_label.single
チャットを表示,Show in Chat,gui.socialInteractions.show
%sからのチャットは表示されます,Chat messages from %s will be shown,gui.socialInteractions.shown_in_chat
ブロック中,Blocked,gui.socialInteractions.status_blocked
ブロック中 - オフライン,Blocked - Offline,gui.socialInteractions.status_blocked_offline
非表示中,Hidden,gui.socialInteractions.status_hidden
非表示中 - オフライン,Hidden - Offline,gui.socialInteractions.status_hidden_offline
オフライン,Offline,gui.socialInteractions.status_offline
すべて,All,gui.socialInteractions.tab_all
ブロック中,Blocked,gui.socialInteractions.tab_blocked
非表示中,Hidden,gui.socialInteractions.tab_hidden
社交設定,Social Interactions,gui.socialInteractions.title
メッセージを非表示,Hide messages,gui.socialInteractions.tooltip.hide
プレイヤーを通報,Report player,gui.socialInteractions.tooltip.report
通報サービスを利用できません。,The reporting service is unavailable,gui.socialInteractions.tooltip.report.disabled
プレイヤー%sには通報可能なメッセージがありませんでした,No reportable messages from player %s,gui.socialInteractions.tooltip.report.no_messages
このサーバーではチャットメッセージを確認できないため、このプレイヤーを通報できません,"This player can't be reported, because their chat messages can't be verified on this server",gui.socialInteractions.tooltip.report.not_reportable
メッセージを表示,Show messages,gui.socialInteractions.tooltip.show
統計,Statistics,gui.stats
サーバーリストへ戻る,Back to Server List,gui.toMenu
Realms一覧へ戻る,Back to Realms List,gui.toRealms
タイトル画面へ戻る,Back to Title Screen,gui.toTitle
ワールド一覧へ戻る,Back to World List,gui.toWorld
クリックでスロットを無効化,Click to disable slot,gui.togglable_slot
上,Up,gui.up
はい,Yes,gui.yes
吊り看板の編集,Edit Hanging Sign Message,hanging_sign.edit
称賛,Admire,instrument.minecraft.admire_goat_horn
号令,Call,instrument.minecraft.call_goat_horn
夢想,Dream,instrument.minecraft.dream_goat_horn
感覚,Feel,instrument.minecraft.feel_goat_horn
沈思,Ponder,instrument.minecraft.ponder_goat_horn
探求,Seek,instrument.minecraft.seek_goat_horn
歌声,Sing,instrument.minecraft.sing_goat_horn
憧憬,Yearn,instrument.minecraft.yearn_goat_horn
アイテムを削除,Destroy Item,inventory.binSlot
%1$s+%2$sでホットバーを保存します,Save hotbar with %1$s+%2$s,inventory.hotbarInfo
アイテムホットバーを保存しました（%1$s+%2$sで復元）,Item hotbar saved (restore with %1$s+%2$s),inventory.hotbarSaved
破壊可能：,Can break:,item.canBreak
設置可能：,Can be placed on:,item.canPlace
不明,Unknown,item.canUse.unknown
色：%s,Color: %s,item.color
%s個のコンポーネント,%s component(s),item.components
無効なアイテム,Disabled item,item.disabled
耐久値：%s／%s,Durability: %s / %s,item.durability
染色済み,Dyed,item.dyed
アカシアのボート,Acacia Boat,item.minecraft.acacia_boat
チェスト付きのアカシアのボート,Acacia Boat with Chest,item.minecraft.acacia_chest_boat
アレイのスポーンエッグ,Allay Spawn Egg,item.minecraft.allay_spawn_egg
アメジストの欠片,Amethyst Shard,item.minecraft.amethyst_shard
釣り人の壺の欠片,Angler Pottery Shard,item.minecraft.angler_pottery_shard
釣り人の壺の欠片,Angler Pottery Sherd,item.minecraft.angler_pottery_sherd
リンゴ,Apple,item.minecraft.apple
射手の壺の欠片,Archer Pottery Shard,item.minecraft.archer_pottery_shard
射手の壺の欠片,Archer Pottery Sherd,item.minecraft.archer_pottery_sherd
アルマジロのウロコ,Armadillo Scute,item.minecraft.armadillo_scute
アルマジロのスポーンエッグ,Armadillo Spawn Egg,item.minecraft.armadillo_spawn_egg
防具立て,Armor Stand,item.minecraft.armor_stand
両腕を上げた人の壺の欠片,Arms Up Pottery Shard,item.minecraft.arms_up_pottery_shard
両腕を上げた人の壺の欠片,Arms Up Pottery Sherd,item.minecraft.arms_up_pottery_sherd
矢,Arrow,item.minecraft.arrow
ウーパールーパー入りバケツ,Bucket of Axolotl,item.minecraft.axolotl_bucket
ウーパールーパーのスポーンエッグ,Axolotl Spawn Egg,item.minecraft.axolotl_spawn_egg
ベイクドポテト,Baked Potato,item.minecraft.baked_potato
チェスト付きの竹のイカダ,Bamboo Raft with Chest,item.minecraft.bamboo_chest_raft
